               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.027119,           0.0077813,                   0,             0.98727,                   1,               0.995,             0.61791,            0.024019,           0.0033293,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.028919,            0.007497,                   0,             0.95953,                   1,               0.995,             0.62871,            0.023918,           0.0032415,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.028218,           0.0075673,                   0,             0.96704,                0.96,             0.99346,             0.60062,            0.025859,            0.003299,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.029895,           0.0074174,                   0,             0.98921,                   1,               0.995,              0.6045,            0.025552,           0.0031235,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.029138,           0.0067691,                   0,             0.99469,                   1,               0.995,              0.5564,            0.025713,            0.003155,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.028306,           0.0069595,                   0,             0.99216,                   1,               0.995,             0.67069,            0.021395,           0.0031084,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.027484,           0.0069243,                   0,             0.99197,                   1,               0.995,              0.6273,            0.025021,           0.0030999,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.027246,           0.0073514,                   0,             0.99273,                   1,               0.995,             0.71139,            0.020354,           0.0029557,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.025494,           0.0071394,                   0,             0.99312,                   1,               0.995,             0.61184,            0.023741,           0.0028903,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.026282,            0.006751,                   0,             0.99529,                   1,               0.995,             0.68761,            0.019763,           0.0028166,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.025603,           0.0076689,                   0,             0.99521,                   1,               0.995,             0.67719,            0.020645,           0.0028735,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.026593,           0.0068966,                   0,             0.99307,                   1,               0.995,             0.62469,            0.024522,           0.0029317,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.024698,           0.0065812,                   0,             0.98802,                   1,               0.995,             0.68594,            0.022144,           0.0029492,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.025645,           0.0065605,                   0,             0.99279,                   1,               0.995,             0.66332,            0.020094,           0.0029125,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.025314,           0.0072804,                   0,             0.99441,                   1,               0.995,             0.64868,            0.023177,           0.0029513,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.023016,           0.0062926,                   0,             0.99437,                   1,               0.995,             0.64269,            0.023056,           0.0029206,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.024296,           0.0070361,                   0,             0.99556,                   1,               0.995,             0.62501,            0.024779,           0.0029824,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.023778,           0.0069513,                   0,             0.99625,                   1,               0.995,             0.64237,            0.023378,           0.0030062,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.023677,            0.006874,                   0,              0.9948,                   1,               0.995,             0.69321,            0.020663,           0.0029042,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.023863,           0.0066035,                   0,             0.99455,                   1,               0.995,             0.64648,            0.023611,           0.0028092,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.023599,           0.0067425,                   0,             0.99171,                   1,               0.995,             0.69699,            0.020453,           0.0027044,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.022199,           0.0064256,                   0,              0.9944,                   1,               0.995,             0.67568,            0.021248,           0.0027713,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.021838,           0.0065197,                   0,             0.99447,                   1,               0.995,             0.60679,            0.024343,            0.002772,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.022373,           0.0062291,                   0,             0.99627,                   1,               0.995,             0.70538,            0.020496,           0.0026554,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.021266,            0.006322,                   0,             0.99528,                   1,               0.995,             0.68712,            0.020352,           0.0026672,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.022351,           0.0060703,                   0,             0.99579,                   1,               0.995,             0.66842,            0.020139,           0.0026747,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.022695,           0.0060794,                   0,             0.99476,                   1,               0.995,             0.69424,            0.020265,           0.0026671,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.021476,           0.0062476,                   0,             0.99406,                   1,               0.995,             0.65088,            0.022845,           0.0027885,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.021799,           0.0060608,                   0,             0.99472,                   1,               0.995,             0.68604,            0.020528,            0.002695,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.021356,           0.0062803,                   0,              0.9959,                   1,               0.995,             0.67836,            0.020631,            0.002674,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.021351,           0.0067201,                   0,              0.9957,                   1,               0.995,              0.6834,            0.020798,           0.0027411,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.020808,              0.0059,                   0,             0.99364,                   1,               0.995,             0.71317,             0.02023,           0.0027745,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.021009,           0.0054711,                   0,             0.99285,                   1,               0.995,             0.69691,            0.020769,           0.0027589,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.020508,           0.0058397,                   0,             0.98594,                   1,               0.995,             0.66862,            0.021918,            0.002757,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.021594,           0.0056271,                   0,             0.98813,                   1,               0.995,             0.67174,             0.02052,           0.0026983,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.020277,           0.0056932,                   0,             0.99046,                   1,               0.995,              0.6895,            0.020692,           0.0027038,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.021091,           0.0059173,                   0,             0.99428,                   1,               0.995,             0.68336,            0.021492,           0.0026522,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.019471,           0.0054697,                   0,                   1,             0.99391,               0.995,              0.6876,            0.019931,            0.002598,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.018966,           0.0056761,                   0,             0.99269,                0.96,             0.99346,             0.71235,            0.019113,           0.0026069,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.019355,           0.0053812,                   0,                   1,             0.98959,               0.995,             0.68087,            0.020535,           0.0027311,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.019814,           0.0060551,                   0,                   1,             0.99211,               0.995,             0.66889,            0.020904,           0.0027821,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.019442,           0.0061616,                   0,                   1,             0.99527,               0.995,             0.69591,            0.021082,           0.0026946,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.018534,           0.0056651,                   0,                   1,             0.99666,               0.995,             0.69958,             0.01988,           0.0026575,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.018938,           0.0061662,                   0,                   1,             0.99647,               0.995,             0.68194,            0.020806,           0.0027235,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.018855,           0.0059574,                   0,                   1,             0.99812,               0.995,              0.6814,            0.021006,           0.0027725,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.018211,           0.0052805,                   0,                   1,             0.99532,               0.995,             0.68204,            0.020858,           0.0027769,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.017382,           0.0053026,                   0,                   1,             0.99681,               0.995,             0.67191,            0.021418,           0.0027822,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.018135,           0.0057839,                   0,                   1,             0.98999,               0.995,             0.67124,            0.021048,           0.0027496,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.017879,           0.0057603,                   0,             0.95699,                   1,             0.99346,             0.65152,            0.021044,           0.0027828,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.018059,           0.0052229,                   0,                   1,              0.9873,               0.995,             0.66952,            0.020376,           0.0027071,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.017836,           0.0053115,                   0,                   1,             0.99432,               0.995,             0.67864,            0.019587,           0.0026343,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.017336,           0.0055343,                   0,                   1,             0.99155,               0.995,             0.67598,             0.02034,            0.002654,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.017737,           0.0055421,                   0,                   1,             0.99784,               0.995,             0.68137,            0.020149,           0.0026916,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.017674,           0.0052597,                   0,                   1,             0.99784,               0.995,             0.66681,            0.020589,           0.0026933,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.016899,           0.0053605,                   0,             0.99866,                   1,               0.995,             0.67072,             0.02037,           0.0027032,                   0,            0.000892,            0.000892,            0.000892
                  94,             0.01749,            0.005271,                   0,                   1,             0.99632,               0.995,             0.67389,            0.020407,           0.0026538,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.016734,            0.005351,                   0,                   1,             0.99897,               0.995,             0.68037,            0.020347,           0.0026464,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.016483,           0.0050719,                   0,             0.99292,                   1,               0.995,             0.67549,            0.020349,           0.0026445,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.016282,           0.0051227,                   0,             0.99713,                   1,               0.995,              0.6751,            0.020222,           0.0026636,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.016809,           0.0053974,                   0,             0.99617,                   1,               0.995,             0.67399,            0.020179,           0.0026661,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.017032,            0.005295,                   0,             0.99868,                   1,               0.995,             0.67762,            0.020358,           0.0026817,                   0,            0.000298,            0.000298,            0.000298
